source,variable,table,description,data_type,logic
survey,disability_transit_1,person,Does the transit agency primarily used by this person provide accomodations when needed?,integer/categorical,"Daily 4: If disability_transit_1_ask is not ""Never"""
survey,disability_transit_2,person,Satisfaction with accommodations received for traveling independently,integer/categorical,"Daily 4: If disability =  ""Yes"" and transit_freq is not ""Never"""
survey,participate,person,Willing to participate in future studies,integer/categorical,Daily 2
survey,feedback_web,person,Open-ended survey feedback,character,Daily 7
processing,person_type,person,Person classification used for trip and tour imputation,integer/categorical,NA
processing,person_weight,person,Priority mode for linked trip,numeric,NA
processing,hh_id,vehicle,Household ID,numeric,NA
processing,hh_weight,vehicle,Priority mode for linked trip,numeric,NA
processing,vehicle_id,vehicle,Vehicle ID,numeric,NA
processing,vehicle_num,vehicle,Vehicle number,numeric,NA
survey,make,vehicle,Vehicle make,character,NA
survey,model,vehicle,Vehicle model,character,NA
survey,other,vehicle,Other vehicle details,character,NA
survey,year,vehicle,Vehicle year,integer/categorical,NA
survey,fuel_type,vehicle,Vehicle fuel type,integer/categorical,NA
survey,fuel_type_other,vehicle,Vehicle fuel type-- Other specified,character,NA
processing,hh_id,day,Household ID,numeric,NA
processing,is_complete,day,"Household, day, or person table record is complete",integer/categorical,NA
processing,num_trips,day,"Number of unlinked trips made by household, person, or person-day",numeric,NA
processing,person_id,day,Person ID,numeric,NA
processing,person_num,day,"Person number (Person 1 is whoever filled out the signup survey, other household members are identified in the order that erson 1 listed them in the signup survey)",numeric,NA
processing,hh_is_complete,day,"Person, day, or trip survey from a complete household",integer/categorical,NA
processing,is_participant,day,Person is a survey participant (18+ and related to Person 1),integer/categorical,NA
processing,surveyable,day,Survey participant (related to primary member),integer/categorical,NA
processing,day_id,day,Day ID,numeric,NA
processing,day_num,day,Number of day in person's travel period,numeric,NA
passive,travel_date,day,Date of travel,date,NA
processing,travel_dow,day,Travel day of week,integer/categorical,NA
processing,hh_day_complete,day,Household day is complete,integer/categorical,NA
processing,num_complete_trip_surveys,day,Number of complete trip surveys,numeric,NA
processing,summary_complete,day,Summary survey is complete,integer/categorical,NA
processing,proxy_complete,day,Proxy survey is complete,integer/categorical,If has proxy
survey,begin_day,day,Where participant began their day,integer/categorical,If rMove
survey,end_day,day,Where participant ended their day,integer/categorical,If rMove
survey,school_daily,day,Did this person travel to school today,integer/categorical,If person attends in-person school or daycare at least some of the time
survey,attend_school_1,day,"Did this person travel to school or daycare today: Yes, person traveled to school",integer/categorical,If person attends in-person school or daycare at least some of the time AND school was not selected as a purpose on travel day thus far for a trip added to this child's roster (copied trips are not checked).
survey,attend_school_2,day,"Did this person travel to school or daycare today: Yes, person traveled to another location for school (e.g., friend's house, parent's work)",integer/categorical,If person attends in-person school or daycare at least some of the time AND school was not selected as a purpose on travel day thus far for a trip added to this child's roster (copied trips are not checked).
survey,attend_school_3,day,"Did this person travel to school or daycare today: No, person did not travel for school",integer/categorical,If person attends in-person school or daycare at least some of the time AND school was not selected as a purpose on travel day thus far for a trip added to this child's roster (copied trips are not checked).
survey,attend_school_998,day,Did this person travel to school or daycare today: Don't know,integer/categorical,If person attends in-person school or daycare at least some of the time AND school was not selected as a purpose on travel day thus far for a trip added to this child's roster (copied trips are not checked).
survey,attend_school_999,day,Did this person travel to school or daycare today: Prefer not to answer,integer/categorical,If person attends in-person school or daycare at least some of the time AND school was not selected as a purpose on travel day thus far for a trip added to this child's roster (copied trips are not checked).
survey,attend_school_no_1,day,Reason for not attending school today: Person was sick or quarantining,integer/categorical,If did not attend school or daycare on travel day
survey,attend_school_no_2,day,Reason for not attending school today: Person attended class online from home,integer/categorical,If did not attend school or daycare on travel day
survey,attend_school_no_3,day,"Reason for not attending school today: Person attended class online from another location (e.g., friend's)",integer/categorical,If did not attend school or daycare on travel day
survey,attend_school_no_4,day,"Reason for not attending school today: School was scheduled to be closed (e.g., vacation, holiday)",integer/categorical,If did not attend school or daycare on travel day
survey,attend_school_no_5,day,"Reason for not attending school today: School was closed or adjusted due to weather event (e.g., snow day)",integer/categorical,If did not attend school or daycare on travel day
survey,attend_school_no_6,day,Reason for not attending school today: Other,integer/categorical,If did not attend school or daycare on travel day
survey,attend_school_no_998,day,Reason for not attending school today: Don't know,integer/categorical,If did not attend school or daycare on travel day
survey,attend_school_no_999,day,Reason for not attending school today: Prefer not to answer,integer/categorical,If did not attend school or daycare on travel day
survey,telecommute_time,day,Time spent working at home or teleworking for pay today,integer/categorical,Daily Core: If employed full/part/self/volunteer
survey,delivery_2,day,Which of the following occurred today: Ordered food for delivery,integer/categorical,Daily Core: If rMove or (rMove for Web and person 1)
survey,delivery_4,day,Which of the following occurred today: Shopped online (including online groceries),integer/categorical,Daily Core: If rMove or (rMove for Web and person 1)
survey,delivery_5,day,Which of the following occurred today: Had a package delivered to home,integer/categorical,Daily Core: If rMove or (rMove for Web and person 1)
survey,delivery_8,day,Which of the following occurred today: Socialized online,integer/categorical,Daily Core: If rMove or (rMove for Web and person 1)
survey,delivery_996,day,Which of the following occurred today: None of the above,integer/categorical,Daily Core: If rMove or (rMove for Web and person 1)
survey,no_travel_1,day,Why didn't person go anywhere today: I did make trips today,integer/categorical,Daily Core: If made zero trips
survey,no_travel_2,day,Why didn't person go anywhere today: Not scheduled to work,integer/categorical,Daily Core: If made zero trips
survey,no_travel_3,day,"Why didn't person go anywhere today: Worked at home for pay (e.g., teleworked)",integer/categorical,Daily Core: If made zero trips
survey,no_travel_4,day,Why didn't person go anywhere today: Hung out/worked around home (not for pay),integer/categorical,Daily Core: If made zero trips
survey,no_travel_5,day,"Why didn't person go anywhere today: Scheduled school closure (e.g., holiday)",integer/categorical,Daily Core: If made zero trips
survey,no_travel_6,day,"Why didn't person go anywhere today: No available transportation (e.g., no car, no bus)",integer/categorical,Daily Core: If made zero trips
survey,no_travel_7,day,Why didn't person go anywhere today: Sick or quarantining (self or others),integer/categorical,Daily Core: If made zero trips
survey,no_travel_8,day,"Why didn't person go anywhere today: Waited for visitor/delivery (e.g., plumber)",integer/categorical,Daily Core: If made zero trips
survey,no_travel_9,day,Why didn't person go anywhere today: Kids did online/remote/home school,integer/categorical,Daily Core: If made zero trips
survey,no_travel_11,day,"Why didn't person go anywhere today: Weather conditions (e.g., snowstorm)",integer/categorical,Daily Core: If made zero trips
survey,no_travel_12,day,Why didn't person go anywhere today: Vacation or persol day,integer/categorical,Daily Core: If made zero trips
survey,no_travel_13,day,Why didn't person go anywhere today: Home-bound elderly or disabled,integer/categorical,Daily Core: If made zero trips
survey,no_travel_99,day,Why didn't person go anywhere today: Other reason,integer/categorical,Daily Core: If made zero trips
survey,typical_day,day,Was this a typical day,integer/categorical,Daily Core
survey,typical_day_no,day,What was unusual about this day,character,"Daily Core: If typical_day = ""No"""
processing,daily_activity_pattern,day,Was a mandatory trip made on this day,integer/categorical,NA
processing,day_weight,day,Priority mode for linked trip,numeric,NA
processing,hh_id,trip_unlinked,Household ID,numeric,NA
passive,first_travel_date,trip_unlinked,Household's first day of reporting travel,date,NA
passive,last_travel_date,trip_unlinked,Household's last day of reporting travel,date,NA
processing,person_id,trip_unlinked,Person ID,numeric,NA
processing,person_num,trip_unlinked,"Person number (Person 1 is whoever filled out the signup survey, other household members are identified in the order that erson 1 listed them in the signup survey)",numeric,NA
processing,hh_is_complete,trip_unlinked,"Person, day, or trip survey from a complete household",integer/categorical,NA
processing,day_id,trip_unlinked,Day ID,numeric,NA
processing,day_num,trip_unlinked,Number of day in person's travel period,numeric,NA
passive,travel_date,trip_unlinked,Date of travel,date,NA
processing,travel_dow,trip_unlinked,Travel day of week,integer/categorical,NA
processing,hh_day_complete,trip_unlinked,Household day is complete,integer/categorical,NA
processing,trip_id,trip_unlinked,Trip ID,numeric,NA
processing,trip_num,trip_unlinked,Trip number,numeric,NA
processing,day_is_complete,trip_unlinked,Travel day is complete (all trip surveys and the daily survey are complete),integer/categorical,NA
processing,trip_survey_complete,trip_unlinked,Trip survey is complete,integer/categorical,NA
processing,joint_trip_id,trip_unlinked,Joint trip ID,numeric,NA
processing,joint_trip_num,trip_unlinked,Joint trip number,character,NA
passive,depart_date,trip_unlinked,"Date of trip departure (converted to CDT or CST, as appropriate)",date,NA
passive,depart_dow,trip_unlinked,Day of week of trip departure,integer/categorical,NA
passive,depart_hour,trip_unlinked,"Hour of trip departure (converted to CDT or CST, as appropriate)",numeric,NA
passive,depart_minute,trip_unlinked,"Minute of trip departure (converted to CDT or CST, as appropriate)",numeric,NA
passive,depart_seconds,trip_unlinked,"Second of trip departure (converted to CDT or CST, as appropriate)",numeric,NA
passive,arrive_date,trip_unlinked,"Date of trip arrival (converted to CDT or CST, as appropriate)",date,NA
passive,arrive_dow,trip_unlinked,Day of week of trip arrival,integer/categorical,NA
passive,arrive_hour,trip_unlinked,"Hour of trip arrival (converted to CDT or CST, as appropriate)",numeric,NA
passive,arrive_minute,trip_unlinked,"Minute of trip arrival (converted to CDT or CST, as appropriate)",numeric,NA
passive,arrive_second,trip_unlinked,"Second of trip arrival (converted to CDT or CST, as appropriate)",numeric,NA
processing,distance_meters,trip_unlinked,Trip or tour distance (meters),numeric,"Trace distance for rMove trips, routed distance for online or manually added trips"
processing,distance_miles,trip_unlinked,Trip or tour distance (miles),numeric,"Trace distance for rMove trips, routed distance for online or manually added trips"
passive,distance_meters_app,trip_unlinked,Trace distance of the trip (meters),numeric,If rMove participant and this trip was not manually added by participant
processing,distance_beeline,trip_unlinked,Straightline distance from the trip origin to the trip destination (meters),numeric,NA
processing,duration_seconds,trip_unlinked,Trip duration (seconds),numeric,NA
processing,duration_minutes,trip_unlinked,Trip duration (minutes),numeric,NA
processing,dwell_mins,trip_unlinked,Dwell time spent at destination (minutes),numeric,NA
processing,speed_mph,trip_unlinked,Average trip speed (mph),numeric,NA
processing,flag_speed,trip_unlinked,Flag: outlier for trip speed,integer/categorical,NA
processing,flag_distance,trip_unlinked,Flag: outlier for trip distance,integer/categorical,NA
processing,flag_duration,trip_unlinked,Flag: outlier for trip duration,integer/categorical,NA
processing,o_in_region,trip_unlinked,Trip origin is in the study region,integer/categorical,NA
processing,o_tract_2020,trip_unlinked,Trip origin Census tract 2020,character,NA
processing,o_location_type,trip_unlinked,Trip origin type of location,integer/categorical,NA
processing,d_in_region,trip_unlinked,Trip destination is in the study region,integer/categorical,NA
processing,d_tract_2020,trip_unlinked,Trip destination Census tract 2020,character,NA
processing,d_location_type,trip_unlinked,Trip destination type of location,integer/categorical,NA
survey,mode_1,trip_unlinked,Trip mode 1,integer/categorical,NA
survey,mode_2,trip_unlinked,Trip mode 2,integer/categorical,If used more than 1 mode
survey,mode_3,trip_unlinked,Trip mode 3,integer/categorical,If used more than 2 modes
survey,mode_4,trip_unlinked,Trip mode 4,integer/categorical,If used more than 3 modes
survey,mode_5,trip_unlinked,Trip mode 5,integer/categorical,If used more than 4 modes
survey,mode_6,trip_unlinked,Trip mode 6,integer/categorical,If used more than 5 modes
survey,mode_other_specify,trip_unlinked,Other trip mode specified,character,"If mode_other = ""Other"""
processing,mode_priority,trip_unlinked,Priority trip mode,integer/categorical,NA
processing,mode_type,trip_unlinked,Type of trip's priority mode,integer/categorical,NA
survey,transit_access,trip_unlinked,Mode used to access first transit stop on the trip,integer/categorical,"If mode = ""Public transit"""
survey,transit_egress,trip_unlinked,Mode used to leave last transit stop on the trip,integer/categorical,"If mode = ""Public transit"""
survey,transit_veh_avail,trip_unlinked,Was a household vehicle available to you when you chose to use public transit for this trip?,integer/categorical,"If mode = ""Public transit"" and households has 1+ vehicles"
survey,toll,trip_unlinked,Did person pay any tolls on this trip?,integer/categorical,"If mode or transit_access or transit_egress = ""Household vehicle"" or ""Other vehicle"" or ""Carpool/vanpool"""
survey,tollway_1,trip_unlinked,Tollway(s) used on this trip: Illinois Tollway,integer/categorical,"If toll = ""Yes"""
survey,tollway_2,trip_unlinked,Tollway(s) used on this trip: Chicago Skyway,integer/categorical,"If toll = ""Yes"""
survey,tollway_3,trip_unlinked,Tollway(s) used on this trip: Indiana Toll Road,integer/categorical,"If toll = ""Yes"""
survey,tollway_997,trip_unlinked,Tollway(s) used on this trip: Other,integer/categorical,"If toll = ""Yes"""
survey,tollway_998,trip_unlinked,Tollway(s) used on this trip: Don't know,integer/categorical,"If toll = ""Yes"""
survey,park_location,trip_unlinked,Where vehicle was parked on this trip,integer/categorical,"If mode or transit_access or transit_egress = ""Household vehicle"" or ""Other vehicle"""
survey,park_type,trip_unlinked,How did you pay to park on this trip?,integer/categorical,"If vehicle_park_loc is not ""Didn't park"""
survey,park_pay,trip_unlinked,Interval of parking payment,integer/categorical,"If vehicle_park_type is not ""Free parking"""
survey,park_cost_hour,trip_unlinked,Parking cost per hour,numeric,If paid to park
survey,park_cost_day,trip_unlinked,Parking cost per day,numeric,If paid to park
survey,park_cost_week,trip_unlinked,Parking cost per week,numeric,If paid to park
survey,park_cost_month,trip_unlinked,Parking cost per month,numeric,If paid to park
survey,park_cost_semester,trip_unlinked,Parking cost per semester,numeric,If paid to park
survey,park_cost_year,trip_unlinked,Parking cost per year,numeric,If paid to park
survey,ev_charge_station,trip_unlinked,EV charging available at destination,integer/categorical,If used household electric vehicle on trip
survey,ev_charge_station_level_1,trip_unlinked,Level of EV charging station at destination: Level 1 (2-5 miles of range per 1 hour of charging),integer/categorical,If EV charge stations were at destination
survey,ev_charge_station_level_2,trip_unlinked,Level of EV charging station at destination: Level 2 (10-20 miles of range per 1 hour of charging),integer/categorical,If EV charge stations were at destination
survey,ev_charge_station_level_3,trip_unlinked,Level of EV charging station at destination: Level 3/DC Fast (60+ miles of range per 1 hour of charging),integer/categorical,If EV charge stations were at destination
survey,ev_charge_station_level_998,trip_unlinked,Level of EV charging station at destination: Don't know,integer/categorical,If EV charge stations were at destination
survey,ev_charge_station_decision,trip_unlinked,I decided to stop here because there were electric vehicle charging stations,integer/categorical,If used EV charge station at destination and destination is not home/work/school location
survey,tnc_type,trip_unlinked,What type of smartphone app ride service was used on this trip,integer/categorical,"If mode_taxi = ""Uber/Lyft/Via"""
survey,taxi_type,trip_unlinked,Who paid for this trip?,integer/categorical,"If mode or transit_access or transit_egress = ""Uber/Lyft/Via, taxi, or car service"""
survey,taxi_cost,trip_unlinked,Amount paid for taxi,numeric,If knows amount paid for taxi
survey,num_routes,trip_unlinked,Number of different buses/trains used on trip,integer/categorical,"If mode or transit_access or transit_egress = ""Public transit"""
survey,mode_transit_1,trip_unlinked,Transit agency for first transit leg of trip,integer/categorical,If num_routes >= 1
survey,mode_transit_route_1,trip_unlinked,Transit route for first transit leg of trip,integer/categorical,"If mode_transit1 = ""CTA bus"", ""PACE bus"", ""CTA L train"", or ""METRA commuter rail"""
survey,mode_train_access_1,trip_unlinked,Station used to access first transit leg of trip,integer/categorical,"If first mode is CTA, Metra, or NICTD rail"
survey,mode_train_egress_1,trip_unlinked,Station used to exit first transit leg of trip,integer/categorical,"If first mode is CTA, Metra, or NICTD rail"
processing,mode_bus_access_1,trip_unlinked,Stop ID for first bus access stop,character,If used a bus on the trip
processing,mode_bus_egress_1,trip_unlinked,Stop ID for first bus egress stop,character,If used a bus on the trip
survey,transit_type_1,trip_unlinked,Type of ticket used for first transit leg,integer/categorical,If num_routes >= 1
survey,mode_transit_2,trip_unlinked,Transit agency for second transit leg of trip,integer/categorical,If num_routes >= 2
survey,mode_transit_route_2,trip_unlinked,Transit route for second transit leg of trip,integer/categorical,"If mode_transit2 = ""CTA bus"", ""PACE bus"", ""CTA L train"", or ""METRA commuter rail"""
survey,mode_train_access_2,trip_unlinked,Station used to access second transit leg of trip,integer/categorical,"If second mode is CTA, Metra, or NICTD rail"
survey,mode_train_egress_2,trip_unlinked,Station used to exit second transit leg of trip,integer/categorical,"If second mode is CTA, Metra, or NICTD rail"
processing,mode_bus_access_2,trip_unlinked,Stop ID for second bus access stop,character,If used 2+ buses on the trip
processing,mode_bus_egress_2,trip_unlinked,Stop ID for second bus egress stop,character,If used 2+ buses on the trip
survey,transit_type_2,trip_unlinked,Type of ticket used for second transit leg,integer/categorical,If num_routes >= 2
survey,mode_transit_3,trip_unlinked,Transit agency for third transit leg of trip,integer/categorical,If num_routes >= 3
survey,mode_transit_route_3,trip_unlinked,Transit route for third transit leg of trip,integer/categorical,"If mode_transit3 = ""CTA bus"", ""PACE bus"", ""CTA L train"", or ""METRA commuter rail"""
survey,mode_train_access_3,trip_unlinked,Station used to access third transit leg of trip,integer/categorical,"If third mode is CTA, Metra, or NICTD rail"
survey,mode_train_egress_3,trip_unlinked,Station used to exit third transit leg of trip,integer/categorical,"If third mode is CTA, Metra, or NICTD rail"
processing,mode_bus_access_3,trip_unlinked,Stop ID for third bus access stop,character,If used 3+ buses on the trip
processing,mode_bus_egress_3,trip_unlinked,Stop ID for third bus egress stop,character,If used 3+ buses on the trip
survey,transit_type_3,trip_unlinked,Type of ticket used for third transit leg,integer/categorical,If num_routes >= 3
survey,mode_transit_4,trip_unlinked,Transit agency for fourth transit leg of trip,integer/categorical,If num_routes = 4
survey,mode_transit_route_4,trip_unlinked,Transit route for fourth transit leg of trip,integer/categorical,"If mode_transit4 = ""CTA bus"", ""PACE bus"", ""CTA L train"", or ""METRA commuter rail"""
survey,mode_train_access_4,trip_unlinked,Station used to access fourth transit leg of trip,integer/categorical,"If fourth mode is CTA, Metra, or NICTD rail"
survey,mode_train_egress_4,trip_unlinked,Station used to exit fourth transit leg of trip,integer/categorical,"If fourth mode is CTA, Metra, or NICTD rail"
processing,mode_bus_access_4,trip_unlinked,Stop ID for fourth bus access stop,character,If used 4+ buses on the trip
processing,mode_bus_egress_4,trip_unlinked,Stop ID for fourth bus egress stop,character,If used 4+ buses on the trip
survey,transit_type_4,trip_unlinked,Type of ticket used for fourth transit leg,integer/categorical,If num_routes = 4
survey,transit_cost,trip_unlinked,Cost of the total transit fare for this trip,numeric,If knows the total transit fare for this trip
survey,taxi_pay,trip_unlinked,Amount paid for taxi,integer/categorical,If used a taxi on the trip
survey,transit_pay,trip_unlinked,Total amount paid for transit fare,integer/categorical,If used transit on the trip
survey,bike_park_location,trip_unlinked,Where was the bicycle parked?,integer/categorical,"If mode or transit_access or transit_egress = ""Bicycle"""
survey,scooter_park_location,trip_unlinked,"Where was the scooter, moped, or skateboard parked?",integer/categorical,"If mode or transit_access or transit_egress = ""Micromobility"""
processing,num_travelers,trip_unlinked,Total number of people in travel party (maximum at any given point in the tour table),integer/categorical,NA
processing,num_hh_travelers,trip_unlinked,Number of household members in travel party (maximum at any given point in the tour table),integer/categorical,if household size > 1
survey,num_non_hh_travelers,trip_unlinked,Number of non-household members in travel party,integer/categorical,NA
survey,hh_member_1,trip_unlinked,Household member 1 was on this trip,integer/categorical,NA
survey,hh_member_2,trip_unlinked,Household member 2 was on this trip,integer/categorical,if household size > 1
survey,hh_member_3,trip_unlinked,Household member 3 was on this trip,integer/categorical,if household size > 2
survey,hh_member_4,trip_unlinked,Household member 4 was on this trip,integer/categorical,if household size > 3
survey,hh_member_5,trip_unlinked,Household member 5 was on this trip,integer/categorical,if household size > 4
survey,hh_member_6,trip_unlinked,Household member 6 was on this trip,integer/categorical,if household size > 5
survey,hh_member_7,trip_unlinked,Household member 7 was on this trip,integer/categorical,if household size > 6
survey,hh_member_8,trip_unlinked,Household member 8 was on this trip,integer/categorical,if household size > 7
survey,hh_member_9,trip_unlinked,Household member 9 was on this trip,integer/categorical,if household size > 8
survey,hh_member_10,trip_unlinked,Household member 10 was on this trip,integer/categorical,if household size > 9
survey,driver,trip_unlinked,Were you the driver or passenger on this trip?,integer/categorical,"If mode or transit_access or transit_egress = ""Household vehicle"" or ""Other vehicle"", and travel party has 2+ travelers over 16"
processing,o_purpose,trip_unlinked,Origin trip purpose (processed response),integer/categorical,NA
processing,o_purpose_reported,trip_unlinked,Origin trip purpose (original response),integer/categorical,NA
processing,o_purpose_category,trip_unlinked,Origin trip purpose category (processed response),integer/categorical,NA
processing,o_purpose_category_reported,trip_unlinked,Origin trip purpose category (original response),integer/categorical,NA
processing,d_purpose,trip_unlinked,Destition trip purpose (processed response),integer/categorical,NA
survey,d_purpose_reported,trip_unlinked,Destition trip purpose (original response),integer/categorical,NA
processing,d_purpose_category,trip_unlinked,Destition trip purpose category (processed response),integer/categorical,NA
processing,d_purpose_category_reported,trip_unlinked,Destition trip purpose category (original response),integer/categorical,NA
survey,d_purpose_other,trip_unlinked,Destition trip purpose-- Other specified,character,NA
survey,ontime_imp,trip_unlinked,Importance of being on time when arriving at the destination,integer/categorical,If person_num = 1
survey,ontime_imp_why_1,trip_unlinked,Reason(s) for importance of being on time: Had work/school or a job interview,integer/categorical,"If ontime_imp = ""Very"" or ""Extremely"""
survey,ontime_imp_why_2,trip_unlinked,Reason(s) for importance of being on time: Had an appointment or was meeting someone,integer/categorical,"If ontime_imp = ""Very"" or ""Extremely"""
survey,ontime_imp_why_3,trip_unlinked,Reason(s) for importance of being on time: Was attending an event that was important to me,integer/categorical,"If ontime_imp = ""Very"" or ""Extremely"""
survey,ontime_imp_why_4,trip_unlinked,"Reason(s) for importance of being on time: There was a fine, fee, or penalty for being late",integer/categorical,"If ontime_imp = ""Very"" or ""Extremely"""
survey,ontime_imp_why_5,trip_unlinked,"Reason(s) for importance of being on time: Needed to catch a ride, bus, train, or flight",integer/categorical,"If ontime_imp = ""Very"" or ""Extremely"""
survey,ontime_imp_why_6,trip_unlinked,Reason(s) for importance of being on time: Believes it is important to be on time,integer/categorical,"If ontime_imp = ""Very"" or ""Extremely"""
survey,ontime_imp_why_997,trip_unlinked,Reason(s) for importance of being on time: Other,integer/categorical,"If ontime_imp = ""Very"" or ""Extremely"""
survey,ontime_imp_action_1,trip_unlinked,Action(s) taken to ensure being on time: Left earlier to allow extra time,integer/categorical,"If ontime_imp = ""Very"" or ""Extremely"""
survey,ontime_imp_action_2,trip_unlinked,Action(s) taken to ensure being on time: Took a different route,integer/categorical,"If ontime_imp = ""Very"" or ""Extremely"""
survey,ontime_imp_action_3,trip_unlinked,"Action(s) taken to ensure being on time: Took a different form of transportation (e.g., drove instead of taking public transportation)",integer/categorical,"If ontime_imp = ""Very"" or ""Extremely"""
survey,ontime_imp_action_4,trip_unlinked,Action(s) taken to ensure being on time: Used a toll road,integer/categorical,"If ontime_imp = ""Very"" or ""Extremely"""
survey,ontime_imp_action_5,trip_unlinked,"Action(s) taken to ensure being on time: Chose to make this trip at a different time of day (e.g., to avoid rush hour)",integer/categorical,"If ontime_imp = ""Very"" or ""Extremely"""
survey,ontime_imp_action_6,trip_unlinked,Action(s) taken to ensure being on time: Did not make any changes to my travel behavior to ensure I would arrive on time,integer/categorical,"If ontime_imp = ""Very"" or ""Extremely"""
processing,n_legs,trip_unlinked,Number of legs,numeric,NA
processing,leg_num,trip_unlinked,Leg number,numeric,NA
processing,first_leg,trip_unlinked,First leg,integer/categorical,NA
processing,last_leg,trip_unlinked,Last leg,integer/categorical,NA
processing,is_transit_leg,trip_unlinked,Is transit leg,integer/categorical,NA
processing,is_transit,trip_unlinked,Is a transit trip,integer/categorical,NA
processing,is_access,trip_unlinked,Flag: transit trip quality issue,integer/categorical,NA
processing,is_egress,trip_unlinked,Is egress leg,integer/categorical,NA
processing,has_access,trip_unlinked,Has access leg,integer/categorical,NA
processing,has_synthetic_access,trip_unlinked,Has synthetic access leg,integer/categorical,NA
processing,has_egress,trip_unlinked,Has egress leg,integer/categorical,NA
processing,has_synthetic_egress,trip_unlinked,Has synthetic egress leg,integer/categorical,NA
processing,transit_quality_flag,trip_unlinked,Flag: transit trip quality issue,integer/categorical,NA
processing,imputed_record_type,trip_unlinked,"Indicates whether and, if so, how a trip was imputed",integer/categorical,NA
processing,imputed_host_trip,trip_unlinked,The original trip ID from which this trip was imputed,numeric,If imputed from a non-proxy trip
processing,imputed_joint_trip,trip_unlinked,Indicates whether the trip is an imputed joint trip,integer/categorical,NA
processing,trip_weight,trip_unlinked,Priority mode for linked trip,numeric,NA
processing,linked_trip_id,trip_unlinked,Linked trip ID,numeric,NA
processing,linked_trip_num,trip_unlinked,Linked trip number,numeric,NA
processing,tour_id,trip_unlinked,Tour ID,numeric,NA
processing,tour_num,trip_unlinked,Tour number,numeric,NA
processing,hh_id,trip_linked,Household ID,numeric,NA
processing,person_id,trip_linked,Person ID,numeric,NA
processing,person_num,trip_linked,"Person number (Person 1 is whoever filled out the signup survey, other household members are identified in the order that erson 1 listed them in the signup survey)",numeric,NA
processing,day_id,trip_linked,Day ID,numeric,NA
processing,day_num,trip_linked,Number of day in person's travel period,numeric,NA
processing,joint_trip_id,trip_linked,Joint trip ID,numeric,NA
processing,joint_trip_num,trip_linked,Joint trip number,character,NA
passive,depart_date,trip_linked,"Date of trip departure (converted to CDT or CST, as appropriate)",date,NA
passive,depart_hour,trip_linked,"Hour of trip departure (converted to CDT or CST, as appropriate)",numeric,NA
passive,depart_minute,trip_linked,"Minute of trip departure (converted to CDT or CST, as appropriate)",numeric,NA
passive,depart_seconds,trip_linked,"Second of trip departure (converted to CDT or CST, as appropriate)",numeric,NA
passive,arrive_date,trip_linked,"Date of trip arrival (converted to CDT or CST, as appropriate)",date,NA
passive,arrive_hour,trip_linked,"Hour of trip arrival (converted to CDT or CST, as appropriate)",numeric,NA
passive,arrive_minute,trip_linked,"Minute of trip arrival (converted to CDT or CST, as appropriate)",numeric,NA
passive,arrive_second,trip_linked,"Second of trip arrival (converted to CDT or CST, as appropriate)",numeric,NA
processing,distance_meters,trip_linked,Trip or tour distance (meters),numeric,"Trace distance for rMove trips, routed distance for online or manually added trips"
processing,distance_miles,trip_linked,Trip or tour distance (miles),numeric,"Trace distance for rMove trips, routed distance for online or manually added trips"
processing,duration_minutes,trip_linked,Trip duration (minutes),numeric,NA
processing,dwell_mins,trip_linked,Dwell time spent at destination (minutes),numeric,NA
processing,flag_speed,trip_linked,Flag: outlier for trip speed,integer/categorical,NA
processing,flag_distance,trip_linked,Flag: outlier for trip distance,integer/categorical,NA
processing,flag_duration,trip_linked,Flag: outlier for trip duration,integer/categorical,NA
processing,o_tract_2020,trip_linked,Trip origin Census tract 2020,character,NA
processing,d_tract_2020,trip_linked,Trip destination Census tract 2020,character,NA
survey,hh_member_1,trip_linked,Household member 1 was on this trip,integer/categorical,NA
survey,hh_member_2,trip_linked,Household member 2 was on this trip,integer/categorical,if household size > 1
survey,hh_member_3,trip_linked,Household member 3 was on this trip,integer/categorical,if household size > 2
survey,hh_member_4,trip_linked,Household member 4 was on this trip,integer/categorical,if household size > 3
survey,hh_member_5,trip_linked,Household member 5 was on this trip,integer/categorical,if household size > 4
survey,hh_member_6,trip_linked,Household member 6 was on this trip,integer/categorical,if household size > 5
survey,hh_member_7,trip_linked,Household member 7 was on this trip,integer/categorical,if household size > 6
survey,hh_member_8,trip_linked,Household member 8 was on this trip,integer/categorical,if household size > 7
survey,hh_member_9,trip_linked,Household member 9 was on this trip,integer/categorical,if household size > 8
survey,hh_member_10,trip_linked,Household member 10 was on this trip,integer/categorical,if household size > 9
processing,o_purpose,trip_linked,Origin trip purpose (processed response),integer/categorical,NA
processing,o_purpose_category,trip_linked,Origin trip purpose category (processed response),integer/categorical,NA
processing,d_purpose,trip_linked,Destition trip purpose (processed response),integer/categorical,NA
processing,d_purpose_category,trip_linked,Destition trip purpose category (processed response),integer/categorical,NA
processing,n_legs,trip_linked,Number of legs,numeric,NA
processing,leg_num,trip_linked,Leg number,numeric,NA
processing,first_leg,trip_linked,First leg,integer/categorical,NA
processing,last_leg,trip_linked,Last leg,integer/categorical,NA
processing,linked_trip_id,trip_linked,Linked trip ID,numeric,NA
processing,linked_trip_num,trip_linked,Linked trip number,numeric,NA
processing,linked_trip_mode,trip_linked,Priority mode for linked trip,integer/categorical,NA
