source,variable,table,description,data_type,logic
survey,employment,person,Employment status,integer/categorical,If participant is age 16 or older
survey,num_jobs,person,Number of jobs,integer/categorical,If employed full/part/furloughed/self/volunteer
survey,job_type,person,Work location type of primary job,integer/categorical,If employed full/part/furloughed/self/volunteer
survey,job_type_2,person,Work location type of second job,integer/categorical,If employed full/part/furloughed/self/volunteer with 2 or more jobs
survey,job_type_3,person,Work location type of third job,integer/categorical,If employed full/part/furloughed/self/volunteer with 3 or more jobs
processing,work_tract_2020,person,Primary work location-- 2020 Tract,character,"If employed full/part/furloughed/self/volunteer with ""only one work location"" or ""teleworks some days and travels to a work location some days"" for primary job type"
processing,main_work_2_tract_2020,person,Second work location-- 2020 Tract,character,"If employed full/part/furloughed/self/volunteer with ""only one work location"" or ""teleworks some days and travels to a work location some days"" for primary job type"
processing,main_work_3_tract_2020,person,Third work location-- 2020 Tract,character,"If employed full/part/furloughed/self/volunteer with ""only one work location"" or ""teleworks some days and travels to a work location some days"" for primary job type"
survey,hours_worked,person,Number of hours worked in a week,numeric,If employed full/part/self/volunteer and work hours do not vary greatly week-to-week
survey,work_flex,person,Person has the ability to change their work hours,integer/categorical,Daily 1: If employed full/part/self/volunteer
survey,industry,person,Industry of primary job,integer/categorical,Daily 1: If employed = full/part/self/volunteer
survey,occupation,person,Occupation of primary job,integer/categorical,Daily 1: If employed = full/part/self/volunteer
survey,commute_freq,person,How often person typically commutes to their workplace,integer/categorical,"Daily 1: If employed full/part/self/volunteer and job_type IS NOT ""work only from home"" or ""Drive/bike/travel for work"""
survey,telework_freq,person,How often person typically works remotely,integer/categorical,"Daily 1: If commute_freq is not ""6-7 days a week"", or job_type is ""Work only from home"" , or telework_freq is not ""Never"""
survey,telework_days_1,person,Days teleworked in the past week: Monday,integer/categorical,"Daily 1: If commute_freq is not ""6-7 days a week"", or job_type is ""Work only from home"" , or telework_freq is not ""Never"""
survey,telework_days_2,person,Days teleworked in the past week: Tuesday,integer/categorical,"Daily 1: If commute_freq is not ""6-7 days a week"", or job_type is ""Work only from home"" , or telework_freq is not ""Never"""
survey,telework_days_3,person,Days teleworked in the past week: Wednesday,integer/categorical,"Daily 1: If commute_freq is not ""6-7 days a week"", or job_type is ""Work only from home"" , or telework_freq is not ""Never"""
survey,telework_days_4,person,Days teleworked in the past week: Thursday,integer/categorical,"Daily 1: If commute_freq is not ""6-7 days a week"", or job_type is ""Work only from home"" , or telework_freq is not ""Never"""
